Sales Person,Country,Product,Date,Amount,Boxes Shipped,Amount_capped,Amount_minmax,Boxes_minmax,Amount_z,Boxes_z,PC1,PC2
Curtice Advani,UK,85% Dark Bars,2022-06-08,1085.0,172,1085.0,0.06427742087146887,0.22007722007722005,-1.1657433766027527,0.05913454299641554,0.8661194830742367,-0.7824906103639829
Brien Boise,Australia,Eclairs,2022-06-27,6888.0,88,6888.0,0.4102902903678825,0.11196911196911195,0.23667431147190063,-0.6182529124236941,-0.6045248374375669,-0.2698168162886843
Gunar Cockshoot,USA,Spicy Special Slims,2022-02-17,1267.0,157,1267.0,0.07512945296665192,0.20077220077220076,-1.1217592271577093,-0.06182750261431831,0.7494849100193772,-0.8369222027442157
Marney O'Breen,USA,After Nines,2022-05-30,4753.0,163,4753.0,0.28298760617438895,0.2084942084942085,-0.2792935954795701,-0.013442684370024768,0.1879849820301799,-0.20699580858097275
Husein Augar,UK,Drinking Coco,2022-03-14,3003.0,113,3003.0,0.1786411437207057,0.14414414414414414,-0.7022181093742182,-0.41664950307247095,0.20192749800995113,-0.7911588760110573
Kaine Padly,Australia,Eclairs,2022-02-28,7672.0,115,7672.0,0.45703750554713257,0.1467181467181467,0.42614449369670304,-0.4005212303243731,-0.58454093922979,0.018118383286707642
Karlen McCaffrey,India,Fruit & Nut Bars,2022-01-26,168.0,321,168.0,0.009599874545738856,0.41184041184041187,-1.3873558218835482,1.260690862729705,1.8724517675885854,-0.08956565155641284
Roddy Speechley,Canada,Spicy Special Slims,2022-02-09,1652.0,186,1652.0,0.09808567470646223,0.23809523809523808,-1.0287158341008866,0.17203245223310046,0.8490572557648839,-0.6057666286485421
Husein Augar,USA,Eclairs,2022-07-07,5191.445,112,5191.445,0.3091305688775347,0.14285714285714285,-0.17333408776840503,-0.42471363944651985,-0.17775218564323234,-0.4228836033868746
Dennison Crosswaite,New Zealand,White Choc,2022-07-05,9492.0,151,9492.0,0.5655578264989631,0.19305019305019303,0.8659859881471371,-0.11021232085861185,-0.6902764440808021,0.5344126851819467
Dennison Crosswaite,New Zealand,Manuka Honey Choco,2022-06-15,5061.0,301,5061.0,0.3013525835662372,0.3861003861003861,-0.20485888103411204,1.0994081352487266,0.9222560516915448,0.6325418437605164
Van Tuxwell,New Zealand,85% Dark Bars,2022-05-24,1722.0,121,1722.0,0.10225953320460957,0.15444015444015444,-1.0117988535451008,-0.35213641208007956,0.4664517856539834,-0.9644478754230432
Rafaelita Blaksland,UK,99% Dark & Pure,2022-06-29,12446.0,150,12446.0,0.7416946551207804,0.19176319176319176,1.5798825676013033,-0.11827645723266077,-1.2007797619932234,1.0335115920653692
Wilone O'Kielt,Australia,Manuka Honey Choco,2022-05-11,4284.0,94,4284.0,0.2550227542368018,0.11969111969111967,-0.3926373652033358,-0.5698680941794004,-0.12532105029361548,-0.680594137258605
Karlen McCaffrey,UK,Almond Choco,2022-06-30,6839.0,133,6839.0,0.40736858941917936,0.16988416988416988,0.22483242508285048,-0.25536677559149246,-0.33955211111718797,-0.02159104630378516
Andria Kimpton,Canada,After Nines,2022-05-11,2163.0,70,2163.0,0.12855484174293774,0.08880308880308879,-0.9052218760436495,-0.7634073671565746,0.10027800090468186,-1.179899053153056
Roddy Speechley,USA,Manuka Honey Choco,2022-07-22,9583.0,315,9583.0,0.5709838425465547,0.4041184041184041,0.8879780628696589,1.2123060444854117,0.22933451512905495,1.4851251347291032
Andria Kimpton,UK,50% Dark Bites,2022-08-24,2653.0,314,2653.0,0.15777185122996903,0.40283140283140284,-0.786803012153148,1.2042419081113627,1.407881364766066,0.29517387406306916
Kelci Walkden,New Zealand,After Nines,2022-07-07,147.0,72,147.0,0.008347716996294658,0.09137709137709137,-1.3924309160502841,-0.7472790944084768,0.4561912279777651,-1.5130034581681318
Camilla Castle,Australia,85% Dark Bars,2022-05-19,3654.0,14,3654.0,0.21745802775347586,0.01673101673101673,-0.5448901902054092,-1.2149990041033143,-0.47383848644009197,-1.2444295834326247
Karlen McCaffrey,India,Manuka Honey Choco,2022-07-04,2443.0,581,2443.0,0.14525027573552704,0.7464607464607464,-0.8375539538205057,3.3573663199824253,2.9662565721429934,1.781776411430792
Kelci Walkden,USA,After Nines,2022-06-02,938.0,16,938.0,0.05551231802535948,0.019305019305019305,-1.2012690357699032,-1.1988707313552165,0.0016958573149623438,-1.6971551051296732
Karlen McCaffrey,USA,Raspberry Choco,2022-04-15,14749.0,354,14749.0,0.8790145997098275,0.4543114543114543,2.1364512278866603,1.5268073630733197,-0.4310833109182698,2.590314990907682
Mallorie Waber,Canada,Choco Coated Almonds,2022-07-11,4781.0,241,4781.0,0.2846571495736479,0.3088803088803089,-0.27252680325725576,0.6155599528057912,0.6279721674941452,0.24256106621754397
Andria Kimpton,India,Spicy Special Slims,2022-02-23,6307.0,142,6307.0,0.37564726483325966,0.18146718146718147,0.09626337285887746,-0.18278954822505217,-0.19732021280836176,-0.06118324535155707
Madelene Upcott,Canada,Almond Choco,2022-08-22,7602.0,102,7602.0,0.45286364704898524,0.12998712998712997,0.4092275131409171,-0.5053550031870091,-0.6467074992501335,-0.06797240007002933
Kaine Padly,USA,Peanut Butter Cubes,2022-02-16,6790.0,188,6790.0,0.4044468884704762,0.24066924066924064,0.21299053869380036,0.18816072498119832,-0.017557329651777785,0.2836567788261445
Van Tuxwell,USA,50% Dark Bites,2022-01-13,9737.0,160,9737.0,0.5801663312424787,0.2046332046332046,0.9251954200923879,-0.03763509349217154,-0.6808239852889638,0.6275999256511646
Curtice Advani,Australia,Milk Bars,2022-02-14,6979.0,18,6979.0,0.415716306415474,0.021879021879021878,0.25866638619442234,-1.1827424586071187,-1.0192299686214423,-0.6534204571352414
Roddy Speechley,India,Eclairs,2022-06-10,4382.0,303,4382.0,0.2608661561342081,0.3886743886743887,-0.3689535924252355,1.1155364079968244,1.0496929459020625,0.5279137716080085
Curtice Advani,India,Fruit & Nut Bars,2022-07-07,5243.0,176,5243.0,0.31220461566142027,0.2252252252252252,-0.16087473158906865,0.09139108849261124,0.17837887204134084,-0.04913235521505212
Curtice Advani,Canada,Almond Choco,2022-03-24,4865.0,70,4865.0,0.28966577977142466,0.08880308880308879,-0.25222642659031264,-0.7634073671565746,-0.36145950948772676,-0.7181615427606407
Brien Boise,Australia,Fruit & Nut Bars,2022-06-06,5191.445,23,5191.445,0.3091305688775347,0.028314028314028312,-0.17333408776840503,-1.142421776736874,-0.685248476434011,-0.930379894177646
Dotty Strutley,Australia,Drinking Coco,2022-07-19,91.0,135,91.0,0.005008630197776796,0.17245817245817244,-1.4059645004949128,-0.23923850284339462,0.8249998647260199,-1.1633342000889972
Beverie Moffet,USA,Raspberry Choco,2022-04-19,14798.0,83,14798.0,0.8819363006585307,0.10553410553410553,2.1482931142757105,-0.6585735942939386,-1.984754483516356,1.0533907746450937
Marney O'Breen,India,85% Dark Bars,2022-07-19,2205.0,179,2205.0,0.13105915684182615,0.22908622908622908,-0.8950716877101779,0.115583497614758,0.7146411349846049,-0.5511813850713051
Jehu Rudeforth,Canada,Drinking Coco,2022-07-15,441.0,24,441.0,0.025877922688513442,0.029601029601029602,-1.3213795977159832,-1.134357640362825,0.13224449427518664,-1.7364684538578494
Ches Bonnell,New Zealand,Spicy Special Slims,2022-02-14,3556.0,18,3556.0,0.21161462585606958,0.021879021879021878,-0.5685739629835095,-1.1827424586071187,-0.4342827080466036,-1.2383677177100887
Brien Boise,Canada,99% Dark & Pure,2022-05-18,16793.0,416,16778.052499999998,1.0000000000000002,0.5341055341055341,2.6268146805890713,2.0267838182643527,-0.42428589167099645,3.2905910554587976
Barr Faughny,Australia,Fruit & Nut Bars,2022-06-30,15421.0,55,15421.0,0.9190836412920419,0.06949806949806948,2.2988542412222053,-0.8843694127673085,-2.250879031769398,1.000191814085964
Andria Kimpton,Australia,50% Dark Bites,2022-06-02,4438.0,227,4438.0,0.26420524293272596,0.2908622908622909,-0.3554200079806068,0.5026620435691064,0.6067556374652674,0.10411584184033473
Andria Kimpton,Australia,Drinking Coco,2022-06-28,1603.0,48,1603.0,0.0951639737577591,0.06048906048906049,-1.0405577204899368,-0.9408183673856509,0.07052637293118996,-1.4010444678177012
Marney O'Breen,Australia,Organic Choco Syrup,2022-05-16,273.0,174,273.0,0.015860662292959852,0.22265122265122264,-1.3619803510498694,0.07526281574451339,1.0162843894543294,-0.9098466946860654
Kelci Walkden,Canada,Baker's Choco Chips,2022-05-26,3073.0,302,3073.0,0.18281500221885302,0.38738738738738737,-0.6853011288184324,1.1074722716227756,1.267682228582846,0.2985200778982163
Karlen McCaffrey,India,Almond Choco,2022-07-06,6090.0,149,6090.0,0.36270830348900296,0.19047619047619047,0.04382073313594108,-0.12634059360670968,-0.12032222803542876,-0.058350352921447295
Oby Sorrel,India,99% Dark & Pure,2022-05-27,10255.0,11,10255.0,0.611052884128769,0.01287001287001287,1.0503810762052037,-1.2391914132254611,-1.6189722332945893,-0.13350906966513007
Wilone O'Kielt,Australia,Caramel Stuffed Bars,2022-04-14,2030.0,11,2030.0,0.1206245105964578,0.01287001287001287,-0.9373641390996427,-1.2391914132254611,-0.2134241122814285,-1.5390571906783108
Van Tuxwell,Australia,Organic Choco Syrup,2022-08-10,19453.0,14,16778.052499999998,1.0000000000000002,0.01673101673101673,2.6268146805890713,-1.2149990041033143,-2.716572508501255,0.9983044386285713
Camilla Castle,India,50% Dark Bites,2022-07-04,9275.0,411,9275.0,0.5526188651547064,0.5276705276705276,0.8135433484242007,1.9864631363941083,0.8293795358614233,1.9799035727813283
Oby Sorrel,India,Organic Choco Syrup,2022-07-08,5191.445,56,5191.445,0.3091305688775347,0.07078507078507078,-0.17333408776840503,-0.8763052763932596,-0.4970756944554077,-0.7422071121990454
Jan Morforth,USA,Peanut Butter Cubes,2022-07-22,9037.0,102,9037.0,0.5384277462610054,0.12998712998712997,0.7560256145345285,-0.5053550031870091,-0.8919307884481743,0.17725088912801482
Gigi Bohling,USA,Choco Coated Almonds,2022-03-02,12313.0,103,12313.0,0.7337643239743005,0.13127413127413126,1.54774030454531,-0.49729086681296014,-1.4460554090052962,0.7427799207141511
Gigi Bohling,UK,Almond Choco,2022-01-10,5642.0,9,5642.0,0.33599560910086,0.010296010296010296,-0.06444794242108885,-1.255319685973559,-0.8420734853894055,-0.9332166396283367
Jehu Rudeforth,New Zealand,White Choc,2022-03-11,2800.0,241,2800.0,0.16653695407607844,0.3088803088803089,-0.7512773529859975,0.6155599528057912,0.9664999277041236,-0.09596669399243925
Andria Kimpton,New Zealand,Peanut Butter Cubes,2022-06-20,959.0,265,959.0,0.05676447557480368,0.33976833976833976,-1.1961939416031673,0.8090992257829654,1.4179563969257827,-0.27371729851795434
Van Tuxwell,UK,Organic Choco Syrup,2022-08-26,2002.0,214,2002.0,0.11895496719719888,0.27413127413127414,-0.944130931321957,0.3978282707064703,0.9489084518299861,-0.38629431590147045
Roddy Speechley,Canada,Milk Bars,2022-07-13,609.0,32,609.0,0.035895183084067035,0.039897039897039896,-1.2807788443820969,-1.0698445493704338,0.14915307038753853,-1.6621417417381512
Camilla Castle,USA,Spicy Special Slims,2022-02-11,1274.0,244,1274.0,0.07554683881646665,0.3127413127413127,-1.1200675291021307,0.639752361927938,1.2443805786143298,-0.33963411181563063
Marney O'Breen,USA,Orange Choco,2022-01-27,7595.0,181,7595.0,0.45244626119917053,0.23166023166023164,0.4075358150853385,0.13171177036285586,-0.19503705243756653,0.3813056244088919
Van Tuxwell,UK,99% Dark & Pure,2022-01-31,4725.0,137,4725.0,0.28131806277513,0.17503217503217502,-0.28606038770188447,-0.22311023009529676,0.0445124833203773,-0.3600379966253309
Camilla Castle,USA,White Choc,2022-08-18,9681.0,24,9681.0,0.5768272444439608,0.029601029601029602,0.9116618356477592,-1.134357640362825,-1.4467542459268319,-0.15746971365580795
Andria Kimpton,USA,Raspberry Choco,2022-06-30,14504.0,21,14504.0,0.8644060949663118,0.02574002574002574,2.0772417959414096,-1.1585500494849719,-2.2880503564091224,0.6496131637394756
Dotty Strutley,Australia,Fruit & Nut Bars,2022-08-23,280.0,311,280.0,0.016278048142774587,0.398970398970399,-1.3602886529942908,1.1800494989892159,1.7962903337744387,-0.127448328032328
Brien Boise,New Zealand,Mint Chip Choco,2022-08-01,63.0,181,63.0,0.003339086798517863,0.23166023166023164,-1.4127312927172273,0.13171177036285586,1.0920861630604428,-0.905817591089136
Roddy Speechley,New Zealand,After Nines,2022-05-25,8001.0,10,8001.0,0.47665464048842504,0.011583011583011582,0.5056543023088969,-1.2472555495995101,-1.2394944430931454,-0.5243912708955855
Roddy Speechley,Canada,Organic Choco Syrup,2022-01-10,5191.445,82,5191.445,0.3091305688775347,0.10424710424710423,-0.17333408776840503,-0.6666377306679876,-0.3488183510783263,-0.5939497688219662
Dennison Crosswaite,Australia,70% Dark Bites,2022-02-07,5859.0,108,5859.0,0.3489345704451168,0.1377091377091377,-0.012005302698152481,-0.4569701849427156,-0.31463768562500666,-0.3316157475211234
Karlen McCaffrey,USA,Orange Choco,2022-05-12,11095.0,401,11095.0,0.6611391861065369,0.5148005148005147,1.2533848428746348,1.905821772653619,0.4613425773432668,2.233896421009427
Madelene Upcott,Australia,Spicy Special Slims,2022-03-07,7182.0,408,7182.0,0.42782049606010125,0.5238095238095237,0.30772562980620155,1.9622707272719615,1.1699400581970072,1.60512981735872
Dennison Crosswaite,Australia,85% Dark Bars,2022-04-05,6881.0,420,6881.0,0.40987290451806774,0.5392535392535392,0.23498261341632204,2.0590403637605483,1.2898036045442924,1.6221192033595084
Andria Kimpton,Canada,Caramel Stuffed Bars,2022-01-03,7154.0,348,7154.0,0.42615095266084235,0.4465894465894466,0.30095883758388714,1.478422544829026,0.832592571994098,1.258212641821258
Dennison Crosswaite,UK,Eclairs,2022-03-24,6188.0,270,6188.0,0.3685517053864092,0.3462033462033462,0.06750450591404138,0.8494199076532101,0.552897682883974,0.6483634706688979
Madelene Upcott,India,Raspberry Choco,2022-07-07,4221.0,9,4221.0,0.25126628158846925,0.010296010296010296,-0.4078626477035432,-1.255319685973559,-0.5992426185250043,-1.1760475064927418
Van Tuxwell,USA,After Nines,2022-07-26,630.0,264,630.0,0.03714734063351123,0.3384813384813385,-1.2757037502153612,0.8010350894089164,1.468476116251806,-0.3356414288729847
Wilone O'Kielt,Australia,Organic Choco Syrup,2022-07-07,1743.0,111,1743.0,0.10351169075405377,0.14157014157014156,-1.006723759378365,-0.43277777582056876,0.40584109700849275,-1.0178812970676145
Karlen McCaffrey,Canada,50% Dark Bites,2022-07-15,2919.0,65,2919.0,0.17363251352292888,0.08236808236808237,-0.7225184860411614,-0.8037280490268193,-0.057423832684362575,-1.0792192747090406
Roddy Speechley,New Zealand,Orange Choco,2022-04-01,49.0,97,49.0,0.0025043150988883975,0.12355212355212354,-1.4161146888283844,-0.5456756850572537,0.6154933221758192,-1.3871952766410316
Beverie Moffet,Australia,Eclairs,2022-06-20,1827.0,6,1827.0,0.10852032095183056,0.0064350064350064354,-0.9864233827114218,-1.2795120950957057,-0.20724501601617246,-1.6022583420885983
Kelci Walkden,UK,Fruit & Nut Bars,2022-06-29,13006.0,482,13006.0,0.775085523105959,0.619047619047619,1.7152184120475906,2.559016818951582,0.5966555754762397,3.0223407162259606
Marney O'Breen,USA,50% Dark Bites,2022-06-15,1064.0,106,1064.0,0.06302526332202467,0.13513513513513511,-1.1708184707694884,-0.4730984576908134,0.4933625526174891,-1.1624248078216433
Husein Augar,USA,After Nines,2022-04-08,11571.0,180,11571.0,0.6895214238939388,0.23037323037323035,1.3684203106539792,0.12364763398880693,-0.8801872007056657,1.0550513616479946
Dennison Crosswaite,Australia,Raspberry Choco,2022-03-14,5740.0,31,5740.0,0.3418390109982663,0.03861003861003861,-0.040764169642988554,-1.0779086857444826,-0.7333719204058127,-0.7910211619737937
Andria Kimpton,USA,Fruit & Nut Bars,2022-07-15,1456.0,359,1456.0,0.08639887091164972,0.46074646074646075,-1.0760833796570872,1.5671280449435643,1.8690327224448773,0.34722101268953287
Kelci Walkden,India,Eclairs,2022-04-19,5334.0,80,5334.0,0.3176306317090118,0.10167310167310166,-0.13888265686654694,-0.6827660034160854,-0.38458360251961604,-0.5809933394386884
Marney O'Breen,USA,99% Dark & Pure,2022-03-28,4151.0,296,4151.0,0.2470924230903219,0.37966537966537967,-0.4247796282593291,1.059087453378482,1.0492524758055912,0.4485233645014361
Brien Boise,Canada,Spicy Special Slims,2022-03-04,8106.0,101,8106.0,0.48291542823564604,0.1287001287001287,0.5310297731425757,-0.513419139561058,-0.7385369087756558,0.012452598426488042
Karlen McCaffrey,New Zealand,70% Dark Bites,2022-08-02,126.0,40,126.0,0.00709555944685046,0.05019305019305019,-1.3975060102170198,-1.0053314583780424,0.27730928501412366,-1.6990626681326884
Husein Augar,UK,Spicy Special Slims,2022-08-25,4697.0,42,4697.0,0.2796485193758711,0.05276705276705276,-0.2928271799241989,-0.9892031856299445,-0.49241219589014124,-0.9065323651703995
Marney O'Breen,USA,Almond Choco,2022-02-25,7798.0,167,7798.0,0.46455045084379776,0.21364221364221364,0.4565950586971177,0.018813861126170926,-0.30955805347838194,0.3361648710436213
Kelci Walkden,India,Orange Choco,2022-06-07,9408.0,138,9408.0,0.5605491963011863,0.17631917631917632,0.845685611480194,-0.21504609372124786,-0.7500505817675065,0.44592947949157036
Jan Morforth,India,Spicy Special Slims,2022-04-12,1939.0,520,1939.0,0.11519849454886628,0.667953667953668,-0.9593562138221644,2.865454001165441,2.704549239769322,1.3478146710350853
Ches Bonnell,India,Spicy Special Slims,2022-07-06,10906.0,94,10906.0,0.6498697681615392,0.11969111969111967,1.2077089953740128,-0.5698680941794004,-1.2569368141050625,0.45102162655285816
Kelci Walkden,UK,Smooth Sliky Salty,2022-01-19,5929.0,175,5929.0,0.3531084289432641,0.22393822393822393,0.004911677857633446,0.08332695211856231,0.055447972178505986,0.06239413361877823
Madelene Upcott,Australia,Fruit & Nut Bars,2022-01-05,5579.0,92,5579.0,0.33223913645252745,0.1171171171171171,-0.07967322492129619,-0.5859963669274983,-0.35802452718426825,-0.47069948242596127
Madelene Upcott,Canada,70% Dark Bites,2022-01-24,10927.0,141,10927.0,0.6511219257109834,0.18018018018018017,1.2127840895407487,-0.19085368459910107,-0.9925217884238743,0.7226139192349607
Wilone O'Kielt,Australia,Drinking Coco,2022-04-06,623.0,283,623.0,0.0367299547836965,0.36293436293436293,-1.2773954482709398,0.954253680515846,1.5780142321941852,-0.22849573526424663
Gunar Cockshoot,Australia,Fruit & Nut Bars,2022-06-15,6013.0,21,6013.0,0.35811705914104086,0.02574002574002574,0.025212054524576557,-1.1585500494849719,-0.8370462110568127,-0.8013909816128547
Gigi Bohling,Canada,Baker's Choco Chips,2022-01-28,1505.0,47,1505.0,0.08932057186035285,0.0592020592020592,-1.064241493268037,-0.9488825037596998,0.08157112375216267,-1.4234936296676803
Kelci Walkden,India,Caramel Stuffed Bars,2022-03-16,476.0,125,476.0,0.027964851937587108,0.15958815958815958,-1.3129211074380902,-0.31987986658388384,0.7021861954059045,-1.1545646410589427
Rafaelita Blaksland,Australia,Drinking Coco,2022-02-21,11550.0,396,11550.0,0.6882692663444946,0.5083655083655083,1.3633452164872433,1.8655010907833744,0.35507782392746956,2.283139119280194
Kelci Walkden,USA,Manuka Honey Choco,2022-02-16,17318.0,87,16778.052499999998,1.0000000000000002,0.11068211068211067,2.6268146805890713,-0.626317048797743,-2.3003115059425268,1.4145654411872939
Jehu Rudeforth,Canada,Spicy Special Slims,2022-01-13,1848.0,27,1848.0,0.10977247850127475,0.03346203346203346,-0.981348288544686,-1.1101652312406785,-0.09108733371206579,-1.478923392783575
Kelci Walkden,Australia,Eclairs,2022-03-23,7273.0,547,7273.0,0.4332465121076928,0.7027027027027026,0.32971770452872323,3.083185683264762,1.9469958795442868,2.4132871290433013
Curtice Advani,Canada,Spicy Special Slims,2022-06-16,854.0,118,854.0,0.05050368782758269,0.15057915057915056,-1.2215694124368461,-0.3763288212022263,0.5976753537961181,-1.1298846766521988
Oby Sorrel,India,Raspberry Choco,2022-04-14,6832.0,46,6832.0,0.40695120356936465,0.05791505791505791,0.2231407270272719,-0.9569466401337487,-0.8344477797121406,-0.5188791372323701
Kelci Walkden,UK,Eclairs,2022-01-25,5191.445,57,5191.445,0.3091305688775347,0.07207207207207206,-0.17333408776840503,-0.8682411400192106,-0.49137348894090455,-0.7365049066845423
Jan Morforth,India,Almond Choco,2022-03-11,4466.0,22,4466.0,0.2658747863319849,0.027027027027027025,-0.34865321575829245,-1.1504859131109229,-0.5669813376751535,-1.0600514439655115
Dotty Strutley,UK,Almond Choco,2022-07-28,16114.0,96,16114.0,0.9604048404237004,0.12226512226512226,2.4663323487244857,-0.5537398214313026,-2.135513511189921,1.3524071456957418
Marney O'Breen,New Zealand,After Nines,2022-03-09,1561.0,44,1561.0,0.0926596586588707,0.05534105534105534,-1.0507079088234084,-0.9730749128818467,0.05489481787409549,-1.431030556876632
Husein Augar,Australia,Orange Choco,2022-06-28,8897.0,188,8897.0,0.5300800292647108,0.24066924066924064,0.7221916534229568,0.18816072498119832,-0.3776168908645108,0.6437163400388827
Marney O'Breen,Australia,Milk Bars,2022-07-28,2464.0,387,2464.0,0.14650243328497126,0.4967824967824968,-0.8324788596537699,1.792923863416934,1.8564400688289266,0.679137175117659
Kelci Walkden,Canada,99% Dark & Pure,2022-08-15,4830.0,50,4830.0,0.287578850522351,0.06306306306306306,-0.2606849168682056,-0.9246900946375531,-0.46952256394369074,-0.8381867088848005
Kaine Padly,Australia,Manuka Honey Choco,2022-01-12,2765.0,264,2765.0,0.16445002482700477,0.3384813384813385,-0.7597358432638904,0.8010350894089164,1.103631710371794,0.029202977007032407
Beverie Moffet,New Zealand,White Choc,2022-03-24,7126.0,7,7126.0,0.4244814092615834,0.007722007722007722,0.2941920453615728,-1.2714479587216567,-1.1070746637841906,-0.6910242832915605
Van Tuxwell,UK,Milk Bars,2022-07-25,4263.0,90,4263.0,0.25377059668735763,0.11454311454311453,-0.3977124593700716,-0.6021246396755962,-0.1445412388511689,-0.7069915928170764
Oby Sorrel,Canada,99% Dark & Pure,2022-08-01,3605.0,403,3605.0,0.21453632680477272,0.5173745173745173,-0.5567320765944593,1.9219500454017169,1.752692936869364,0.9653548835413238
Van Tuxwell,India,Organic Choco Syrup,2022-05-16,5191.445,174,5191.445,0.3091305688775347,0.22265122265122264,-0.17333408776840503,0.07526281574451339,0.17578455625596176,-0.06934686148768555
Roddy Speechley,India,Smooth Sliky Salty,2022-08-10,5103.0,140,5103.0,0.3038568986651256,0.17889317889317888,-0.19470869270064048,-0.19891782097315,-0.00297630314437767,-0.27833597707355645
Jan Morforth,India,Eclairs,2022-01-05,2541.0,27,2541.0,0.15109367763293333,0.03346203346203346,-0.8138701810424054,-1.1101652312406785,-0.20951223922721735,-1.360498487268422
Ches Bonnell,UK,Smooth Sliky Salty,2022-07-11,5663.0,110,5663.0,0.3372477666503042,0.14028314028314026,-0.05937284825435308,-0.4408419121946177,-0.2697393619250485,-0.35370524916306967
Wilone O'Kielt,USA,After Nines,2022-04-25,392.0,30,392.0,0.022956221739810313,0.03732303732303732,-1.3332214841050334,-1.0859728221185316,0.17483120552994344,-1.710628698938569
Gigi Bohling,New Zealand,Fruit & Nut Bars,2022-04-04,10976.0,121,10976.0,0.6540436266596865,0.15444015444015444,1.2246259759297988,-0.35213641208007956,-1.114939376881675,0.6169432871126378
Barr Faughny,USA,Raspberry Choco,2022-04-12,9282.0,101,9282.0,0.5530362510045211,0.1287001287001287,0.8152350464797793,-0.513419139561058,-0.9395003848013672,0.21341607445220237
Wilone O'Kielt,New Zealand,85% Dark Bars,2022-08-02,1827.0,117,1827.0,0.10852032095183056,0.1492921492921493,-0.9864233827114218,-0.38439295757627523,0.42569979609367525,-0.9693135299787594
